Columna2;CODIGODEPTO;NOMBREDEPTO;VICEPRESIDENCIANIVEL1;VICEPRESIDENCIANIVEL2
202107;1980455;GERENCIA JURÍDICA GRUPO EMPRESARIAL;VICEPRESIDENCIA ASUNTOS LEGALES;GERENCIA JURÍDICA GRUPO EMPRESARIAL
202107;1727553;UNIDAD GESTIÓN DE ALIADOS GAS;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA GAS
202107;1337000;VICEPRESIDENCIA T&D ENERGÍA;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA T&D ENERGÍA
202107;1980286;UNIDAD DESARROLLO AMBIENTAL Y SOCIAL PROYECTOS E INGENIERÍA;VICEPRESIDENCIA EJECUTIVA PROYECTOS E INGENIERÍA;GERENCIA AMBIENTAL Y SOCIAL PROYECTOS E INGENIERÍA
202107;1337385;UNIDAD SOPORTE A TECNOLOGÍAS DE OPERACIÓN T&D ENERGÍA;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA T&D ENERGÍA
202107;1980445;DIRECCIÓN GESTIÓN Y DESARROLLO DE AUDITORÍA CORPORATIVA;VICEPRESIDENCIA AUDITORÍA CORPORATIVA;DIRECCIÓN GESTIÓN Y DESARROLLO DE AUDITORÍA CORPORATIVA
202107;1980170;GERENCIA REGULACIÓN;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;GERENCIA REGULACIÓN
202107;1980156;UNIDAD SOPORTE CLIENTES;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA COMERCIAL
202107;1980465;GERENCIA JURÍDICA CRECIMIENTO Y CONSOLIDACIÓN;VICEPRESIDENCIA ASUNTOS LEGALES;GERENCIA JURÍDICA CRECIMIENTO Y CONSOLIDACIÓN
202107;1312070;GERENCIA MERCADO DE ENERGÍA MAYORISTA GENERACIÓN ENERGÍA;VICEPRESIDENCIA EJECUTIVA GESTIÓN DE NEGOCIOS;VICEPRESIDENCIA GENERACIÓN ENERGÍA
